apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-2NICs-layer2+3,0,26.02,0.00
intel,802.3ad-2NICs-layer2+3,1,25.95,0.04
intel,802.3ad-2NICs-layer2+3,2,25.73,0.08
intel,802.3ad-2NICs-layer2+3,4,25.76,0.16
intel,802.3ad-2NICs-layer2+3,8,25.79,0.31
intel,802.3ad-2NICs-layer2+3,16,25.66,0.62
intel,802.3ad-2NICs-layer2+3,32,25.60,1.25
intel,802.3ad-2NICs-layer2+3,64,26.05,2.46
intel,802.3ad-2NICs-layer2+3,128,26.17,4.89
intel,802.3ad-2NICs-layer2+3,256,26.30,9.73
intel,802.3ad-2NICs-layer2+3,512,27.05,18.93
intel,802.3ad-2NICs-layer2+3,1024,27.96,36.62
intel,802.3ad-2NICs-layer2+3,2048,32.86,62.33
intel,802.3ad-2NICs-layer2+3,4096,38.44,106.56
intel,802.3ad-2NICs-layer2+3,8192,35.47,230.95
intel,802.3ad-2NICs-layer2+3,16384,50.31,325.69
intel,802.3ad-2NICs-layer2+3,32768,84.23,389.04
intel,802.3ad-2NICs-layer2+3,65536,119.34,549.15
intel,802.3ad-2NICs-layer2+3,131072,164.84,795.16
intel,802.3ad-2NICs-layer2+3,262144,257.46,1018.21
intel,802.3ad-2NICs-layer2+3,524288,431.82,1214.14
intel,802.3ad-2NICs-layer2+3,1048576,784.68,1336.31
intel,802.3ad-2NICs-layer2+3,2097152,1630.51,1286.19
intel,802.3ad-2NICs-layer2+3,4194304,3238.31,1295.21
intel,802.3ad-2NICs-layer2+3,0,25.00,0.00
intel,802.3ad-2NICs-layer2+3,1,18.74,0.05
intel,802.3ad-2NICs-layer2+3,2,18.86,0.11
intel,802.3ad-2NICs-layer2+3,4,18.68,0.21
intel,802.3ad-2NICs-layer2+3,8,18.66,0.43
intel,802.3ad-2NICs-layer2+3,16,18.81,0.85
intel,802.3ad-2NICs-layer2+3,32,18.69,1.71
intel,802.3ad-2NICs-layer2+3,64,18.81,3.40
intel,802.3ad-2NICs-layer2+3,128,19.07,6.71
intel,802.3ad-2NICs-layer2+3,256,19.00,13.47
intel,802.3ad-2NICs-layer2+3,512,19.51,26.24
intel,802.3ad-2NICs-layer2+3,1024,20.97,48.84
intel,802.3ad-2NICs-layer2+3,2048,22.99,89.10
intel,802.3ad-2NICs-layer2+3,4096,26.53,154.36
intel,802.3ad-2NICs-layer2+3,8192,35.70,229.49
intel,802.3ad-2NICs-layer2+3,16384,50.58,323.92
intel,802.3ad-2NICs-layer2+3,32768,84.42,388.16
intel,802.3ad-2NICs-layer2+3,65536,132.00,496.48
intel,802.3ad-2NICs-layer2+3,131072,162.91,804.56
intel,802.3ad-2NICs-layer2+3,262144,252.51,1038.16
intel,802.3ad-2NICs-layer2+3,524288,428.27,1224.21
intel,802.3ad-2NICs-layer2+3,1048576,781.14,1342.37
intel,802.3ad-2NICs-layer2+3,2097152,1625.92,1289.82
intel,802.3ad-2NICs-layer2+3,4194304,3191.85,1314.07
intel,802.3ad-2NICs-layer2+3,0,24.45,0.00
intel,802.3ad-2NICs-layer2+3,1,25.42,0.04
intel,802.3ad-2NICs-layer2+3,2,25.58,0.08
intel,802.3ad-2NICs-layer2+3,4,25.46,0.16
intel,802.3ad-2NICs-layer2+3,8,25.53,0.31
intel,802.3ad-2NICs-layer2+3,16,25.23,0.63
intel,802.3ad-2NICs-layer2+3,32,25.78,1.24
intel,802.3ad-2NICs-layer2+3,64,25.75,2.49
intel,802.3ad-2NICs-layer2+3,128,26.15,4.89
intel,802.3ad-2NICs-layer2+3,256,26.11,9.80
intel,802.3ad-2NICs-layer2+3,512,26.53,19.30
intel,802.3ad-2NICs-layer2+3,1024,27.89,36.72
intel,802.3ad-2NICs-layer2+3,2048,30.93,66.22
intel,802.3ad-2NICs-layer2+3,4096,38.54,106.28
intel,802.3ad-2NICs-layer2+3,8192,45.48,180.12
intel,802.3ad-2NICs-layer2+3,16384,66.94,244.76
intel,802.3ad-2NICs-layer2+3,32768,73.67,444.80
intel,802.3ad-2NICs-layer2+3,65536,109.65,597.68
intel,802.3ad-2NICs-layer2+3,131072,164.30,797.74
intel,802.3ad-2NICs-layer2+3,262144,254.88,1028.48
intel,802.3ad-2NICs-layer2+3,524288,431.01,1216.43
intel,802.3ad-2NICs-layer2+3,1048576,779.68,1344.88
intel,802.3ad-2NICs-layer2+3,2097152,1610.58,1302.11
intel,802.3ad-2NICs-layer2+3,4194304,3185.94,1316.51
intel,802.3ad-2NICs-layer2+3,0,24.69,0.00
intel,802.3ad-2NICs-layer2+3,1,25.49,0.04
intel,802.3ad-2NICs-layer2+3,2,25.75,0.08
intel,802.3ad-2NICs-layer2+3,4,25.66,0.16
intel,802.3ad-2NICs-layer2+3,8,25.44,0.31
intel,802.3ad-2NICs-layer2+3,16,25.46,0.63
intel,802.3ad-2NICs-layer2+3,32,25.75,1.24
intel,802.3ad-2NICs-layer2+3,64,25.74,2.49
intel,802.3ad-2NICs-layer2+3,128,26.44,4.84
intel,802.3ad-2NICs-layer2+3,256,26.07,9.82
intel,802.3ad-2NICs-layer2+3,512,26.74,19.15
intel,802.3ad-2NICs-layer2+3,1024,27.93,36.66
intel,802.3ad-2NICs-layer2+3,2048,30.82,66.45
intel,802.3ad-2NICs-layer2+3,4096,38.19,107.27
intel,802.3ad-2NICs-layer2+3,8192,47.74,171.61
intel,802.3ad-2NICs-layer2+3,16384,66.73,245.53
intel,802.3ad-2NICs-layer2+3,32768,75.66,433.12
intel,802.3ad-2NICs-layer2+3,65536,109.52,598.39
intel,802.3ad-2NICs-layer2+3,131072,165.65,791.27
intel,802.3ad-2NICs-layer2+3,262144,254.44,1030.27
intel,802.3ad-2NICs-layer2+3,524288,426.37,1229.66
intel,802.3ad-2NICs-layer2+3,1048576,782.02,1340.85
intel,802.3ad-2NICs-layer2+3,2097152,1630.37,1286.31
intel,802.3ad-2NICs-layer2+3,4194304,3177.37,1320.06
intel,802.3ad-2NICs-layer2+3,0,24.73,0.00
intel,802.3ad-2NICs-layer2+3,1,25.34,0.04
intel,802.3ad-2NICs-layer2+3,2,25.76,0.08
intel,802.3ad-2NICs-layer2+3,4,25.37,0.16
intel,802.3ad-2NICs-layer2+3,8,25.54,0.31
intel,802.3ad-2NICs-layer2+3,16,25.40,0.63
intel,802.3ad-2NICs-layer2+3,32,25.62,1.25
intel,802.3ad-2NICs-layer2+3,64,25.96,2.46
intel,802.3ad-2NICs-layer2+3,128,26.01,4.92
intel,802.3ad-2NICs-layer2+3,256,26.10,9.81
intel,802.3ad-2NICs-layer2+3,512,26.80,19.11
intel,802.3ad-2NICs-layer2+3,1024,27.98,36.60
