apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-2NICs-layer2,0,25.28,0.00
intel,802.3ad-2NICs-layer2,1,26.13,0.04
intel,802.3ad-2NICs-layer2,2,26.20,0.08
intel,802.3ad-2NICs-layer2,4,26.06,0.15
intel,802.3ad-2NICs-layer2,8,26.27,0.30
intel,802.3ad-2NICs-layer2,16,25.92,0.62
intel,802.3ad-2NICs-layer2,32,26.11,1.23
intel,802.3ad-2NICs-layer2,64,26.41,2.42
intel,802.3ad-2NICs-layer2,128,26.54,4.82
intel,802.3ad-2NICs-layer2,256,27.04,9.47
intel,802.3ad-2NICs-layer2,512,27.31,18.75
intel,802.3ad-2NICs-layer2,1024,28.41,36.04
intel,802.3ad-2NICs-layer2,2048,32.20,63.60
intel,802.3ad-2NICs-layer2,4096,39.87,102.73
intel,802.3ad-2NICs-layer2,8192,46.22,177.22
intel,802.3ad-2NICs-layer2,16384,64.39,254.44
intel,802.3ad-2NICs-layer2,32768,53.31,614.66
intel,802.3ad-2NICs-layer2,65536,113.05,579.69
intel,802.3ad-2NICs-layer2,131072,166.41,787.65
intel,802.3ad-2NICs-layer2,262144,260.39,1006.72
intel,802.3ad-2NICs-layer2,524288,439.83,1192.02
intel,802.3ad-2NICs-layer2,1048576,793.39,1321.63
intel,802.3ad-2NICs-layer2,2097152,1624.11,1291.27
intel,802.3ad-2NICs-layer2,4194304,3242.27,1293.63
intel,802.3ad-2NICs-layer2,0,25.85,0.00
intel,802.3ad-2NICs-layer2,1,26.54,0.04
intel,802.3ad-2NICs-layer2,2,26.78,0.07
intel,802.3ad-2NICs-layer2,4,26.64,0.15
intel,802.3ad-2NICs-layer2,8,26.54,0.30
intel,802.3ad-2NICs-layer2,16,26.51,0.60
intel,802.3ad-2NICs-layer2,32,26.65,1.20
intel,802.3ad-2NICs-layer2,64,27.11,2.36
intel,802.3ad-2NICs-layer2,128,26.82,4.77
intel,802.3ad-2NICs-layer2,256,27.23,9.40
intel,802.3ad-2NICs-layer2,512,27.94,18.32
intel,802.3ad-2NICs-layer2,1024,29.36,34.87
intel,802.3ad-2NICs-layer2,2048,32.58,62.85
intel,802.3ad-2NICs-layer2,4096,40.24,101.78
intel,802.3ad-2NICs-layer2,8192,46.75,175.22
intel,802.3ad-2NICs-layer2,16384,68.72,238.40
