number,apps
1,ft
2,is
3,intel
4,is
5,sp
6,intel
7,ft
8,ft
9,is
10,bt
11,intel
12,sp
13,bt
14,bt
15,sp
16,intel
17,sp
18,is
19,is
20,is
21,ft
22,intel
23,sp
24,intel
25,bt
26,bt
27,bt
28,bt
29,ft
30,is
31,ft
32,is
33,ft
34,sp
35,intel
36,intel
37,is
38,is
39,bt
40,bt
41,sp
42,ft
43,intel
44,ft
45,is
46,bt
47,intel
48,sp
49,ft
50,ft
51,sp
52,sp
53,intel
54,bt
55,ft
56,intel
57,bt
58,ft
59,bt
60,bt
61,bt
62,ft
63,bt
64,is
65,bt
66,sp
67,ft
68,is
69,intel
70,sp
71,bt
72,ft
73,is
74,is
75,intel
76,bt
77,bt
78,intel
79,is
80,sp
81,is
82,intel
83,is
84,bt
85,bt
86,sp
87,ft
88,is
89,is
90,is
91,intel
92,ft
93,sp
94,sp
95,ft
96,sp
97,ft
98,sp
99,intel
100,sp
101,intel
102,is
103,sp
104,intel
105,sp
106,ft
107,sp
108,is
109,bt
110,bt
111,bt
112,is
113,is
114,ft
115,is
116,sp
117,sp
118,is
119,ft
120,intel
121,intel
122,bt
123,ft
124,bt
125,sp
126,sp
127,ft
128,intel
129,sp
130,ft
131,bt
132,intel
133,is
134,sp
135,bt
136,is
137,ft
138,intel
139,ft
140,sp
141,intel
142,intel
143,bt
144,ft
145,intel
146,ft
147,is
148,sp
149,intel
150,intel

