apps,bondmode,time
ft,802.3ad-2NICs-layer3+4,90.12
bt,802.3ad-2NICs-layer3+4,160.63
sp,802.3ad-2NICs-layer3+4,232.25
bt,802.3ad-2NICs-layer3+4,158.92
ft,802.3ad-2NICs-layer3+4,90.01
bt,802.3ad-2NICs-layer3+4,160.56
bt,802.3ad-2NICs-layer3+4,161.48
ft,802.3ad-2NICs-layer3+4,90.37
ft,802.3ad-2NICs-layer3+4,90.42
sp,802.3ad-2NICs-layer3+4,230.35
sp,802.3ad-2NICs-layer3+4,231.62
is,802.3ad-2NICs-layer3+4,11.70
is,802.3ad-2NICs-layer3+4,11.80
bt,802.3ad-2NICs-layer3+4,161.15
bt,802.3ad-2NICs-layer3+4,161.23
is,802.3ad-2NICs-layer3+4,13.25
ft,802.3ad-2NICs-layer3+4,90.38
ft,802.3ad-2NICs-layer3+4,90.08
sp,802.3ad-2NICs-layer3+4,234.44
sp,802.3ad-2NICs-layer3+4,228.85
sp,802.3ad-2NICs-layer3+4,236.47
ft,802.3ad-2NICs-layer3+4,90.61
is,802.3ad-2NICs-layer3+4,11.24
is,802.3ad-2NICs-layer3+4,12.10
is,802.3ad-2NICs-layer3+4,12.56
is,802.3ad-2NICs-layer3+4,12.75
sp,802.3ad-2NICs-layer3+4,230.09
sp,802.3ad-2NICs-layer3+4,232.58
bt,802.3ad-2NICs-layer3+4,159.34
sp,802.3ad-2NICs-layer3+4,235.26
is,802.3ad-2NICs-layer3+4,12.31
sp,802.3ad-2NICs-layer3+4,234.25
sp,802.3ad-2NICs-layer3+4,235.80
sp,802.3ad-2NICs-layer3+4,213.71
bt,802.3ad-2NICs-layer3+4,160.84
is,802.3ad-2NICs-layer3+4,12.43
ft,802.3ad-2NICs-layer3+4,90.88
is,802.3ad-2NICs-layer3+4,12.52
is,802.3ad-2NICs-layer3+4,12.04
sp,802.3ad-2NICs-layer3+4,233.30
bt,802.3ad-2NICs-layer3+4,161.83
bt,802.3ad-2NICs-layer3+4,159.41
ft,802.3ad-2NICs-layer3+4,90.41
sp,802.3ad-2NICs-layer3+4,233.62
sp,802.3ad-2NICs-layer3+4,233.91
is,802.3ad-2NICs-layer3+4,12.31
ft,802.3ad-2NICs-layer3+4,90.75
bt,802.3ad-2NICs-layer3+4,160.95
ft,802.3ad-2NICs-layer3+4,91.10
is,802.3ad-2NICs-layer3+4,12.73
ft,802.3ad-2NICs-layer3+4,90.65
ft,802.3ad-2NICs-layer3+4,89.94
bt,802.3ad-2NICs-layer3+4,161.68
sp,802.3ad-2NICs-layer3+4,238.83
ft,802.3ad-2NICs-layer3+4,91.24
sp,802.3ad-2NICs-layer3+4,237.19
sp,802.3ad-2NICs-layer3+4,233.49
sp,802.3ad-2NICs-layer3+4,233.59
is,802.3ad-2NICs-layer3+4,12.73
ft,802.3ad-2NICs-layer3+4,91.14
sp,802.3ad-2NICs-layer3+4,233.31
is,802.3ad-2NICs-layer3+4,11.94
sp,802.3ad-2NICs-layer3+4,223.91
bt,802.3ad-2NICs-layer3+4,159.38
is,802.3ad-2NICs-layer3+4,12.29
is,802.3ad-2NICs-layer3+4,11.88
ft,802.3ad-2NICs-layer3+4,90.49
sp,802.3ad-2NICs-layer3+4,230.51
ft,802.3ad-2NICs-layer3+4,91.43
bt,802.3ad-2NICs-layer3+4,157.14
is,802.3ad-2NICs-layer3+4,12.77
