apps,bondmode,time
sp,802.3ad-4NICs-layer2,176.60
sp,802.3ad-4NICs-layer2,176.11
sp,802.3ad-4NICs-layer2,175.93
ft,802.3ad-4NICs-layer2,79.45
is,802.3ad-4NICs-layer2,8.33
ft,802.3ad-4NICs-layer2,79.42
bt,802.3ad-4NICs-layer2,134.38
bt,802.3ad-4NICs-layer2,133.54
sp,802.3ad-4NICs-layer2,177.23
is,802.3ad-4NICs-layer2,8.35
bt,802.3ad-4NICs-layer2,133.49
is,802.3ad-4NICs-layer2,8.36
is,802.3ad-4NICs-layer2,8.42
is,802.3ad-4NICs-layer2,8.26
is,802.3ad-4NICs-layer2,8.41
sp,802.3ad-4NICs-layer2,177.21
ft,802.3ad-4NICs-layer2,79.81
bt,802.3ad-4NICs-layer2,134.23
ft,802.3ad-4NICs-layer2,79.52
bt,802.3ad-4NICs-layer2,133.65
is,802.3ad-4NICs-layer2,8.32
ft,802.3ad-4NICs-layer2,79.29
bt,802.3ad-4NICs-layer2,134.06
is,802.3ad-4NICs-layer2,8.30
sp,802.3ad-4NICs-layer2,176.60
sp,802.3ad-4NICs-layer2,177.46
bt,802.3ad-4NICs-layer2,133.92
bt,802.3ad-4NICs-layer2,133.66
bt,802.3ad-4NICs-layer2,133.29
is,802.3ad-4NICs-layer2,8.30
sp,802.3ad-4NICs-layer2,176.10
sp,802.3ad-4NICs-layer2,177.25
is,802.3ad-4NICs-layer2,8.24
sp,802.3ad-4NICs-layer2,176.68
ft,802.3ad-4NICs-layer2,79.47
is,802.3ad-4NICs-layer2,8.35
ft,802.3ad-4NICs-layer2,79.47
is,802.3ad-4NICs-layer2,8.30
bt,802.3ad-4NICs-layer2,133.18
bt,802.3ad-4NICs-layer2,134.87
is,802.3ad-4NICs-layer2,8.27
sp,802.3ad-4NICs-layer2,176.92
is,802.3ad-4NICs-layer2,8.34
ft,802.3ad-4NICs-layer2,79.30
bt,802.3ad-4NICs-layer2,133.86
bt,802.3ad-4NICs-layer2,133.83
ft,802.3ad-4NICs-layer2,79.34
sp,802.3ad-4NICs-layer2,177.88
bt,802.3ad-4NICs-layer2,133.47
is,802.3ad-4NICs-layer2,8.43
ft,802.3ad-4NICs-layer2,79.26
bt,802.3ad-4NICs-layer2,133.51
sp,802.3ad-4NICs-layer2,178.05
is,802.3ad-4NICs-layer2,8.37
ft,802.3ad-4NICs-layer2,79.12
ft,802.3ad-4NICs-layer2,79.49
sp,802.3ad-4NICs-layer2,178.03
sp,802.3ad-4NICs-layer2,177.64
sp,802.3ad-4NICs-layer2,177.45
sp,802.3ad-4NICs-layer2,176.49
ft,802.3ad-4NICs-layer2,79.26
bt,802.3ad-4NICs-layer2,133.45
bt,802.3ad-4NICs-layer2,134.66
ft,802.3ad-4NICs-layer2,79.37
sp,802.3ad-4NICs-layer2,177.58
sp,802.3ad-4NICs-layer2,177.53
is,802.3ad-4NICs-layer2,8.31
ft,802.3ad-4NICs-layer2,79.24
sp,802.3ad-4NICs-layer2,177.14
ft,802.3ad-4NICs-layer2,79.41
is,802.3ad-4NICs-layer2,8.43
bt,802.3ad-4NICs-layer2,133.62
is,802.3ad-4NICs-layer2,8.28
is,802.3ad-4NICs-layer2,8.27
ft,802.3ad-4NICs-layer2,79.17
ft,802.3ad-4NICs-layer2,79.39
ft,802.3ad-4NICs-layer2,79.56
sp,802.3ad-4NICs-layer2,177.49
is,802.3ad-4NICs-layer2,8.31
is,802.3ad-4NICs-layer2,8.33
bt,802.3ad-4NICs-layer2,133.91
bt,802.3ad-4NICs-layer2,134.10
ft,802.3ad-4NICs-layer2,79.49
sp,802.3ad-4NICs-layer2,177.13
bt,802.3ad-4NICs-layer2,133.79
is,802.3ad-4NICs-layer2,8.37
is,802.3ad-4NICs-layer2,8.26
bt,802.3ad-4NICs-layer2,134.96
ft,802.3ad-4NICs-layer2,79.50
ft,802.3ad-4NICs-layer2,79.35
bt,802.3ad-4NICs-layer2,133.99
ft,802.3ad-4NICs-layer2,79.40
ft,802.3ad-4NICs-layer2,79.26
is,802.3ad-4NICs-layer2,8.27
sp,802.3ad-4NICs-layer2,176.95
sp,802.3ad-4NICs-layer2,176.68
ft,802.3ad-4NICs-layer2,79.42
bt,802.3ad-4NICs-layer2,133.96
is,802.3ad-4NICs-layer2,8.28
bt,802.3ad-4NICs-layer2,134.24
bt,802.3ad-4NICs-layer2,133.63
bt,802.3ad-4NICs-layer2,133.80
bt,802.3ad-4NICs-layer2,133.49
sp,802.3ad-4NICs-layer2,177.69
sp,802.3ad-4NICs-layer2,177.64
is,802.3ad-4NICs-layer2,8.32
is,802.3ad-4NICs-layer2,8.26
sp,802.3ad-4NICs-layer2,176.98
ft,802.3ad-4NICs-layer2,79.29
ft,802.3ad-4NICs-layer2,79.33
is,802.3ad-4NICs-layer2,8.28
sp,802.3ad-4NICs-layer2,176.73
sp,802.3ad-4NICs-layer2,177.08
ft,802.3ad-4NICs-layer2,79.34
sp,802.3ad-4NICs-layer2,177.45
is,802.3ad-4NICs-layer2,8.27
ft,802.3ad-4NICs-layer2,79.36
bt,802.3ad-4NICs-layer2,133.81
ft,802.3ad-4NICs-layer2,79.19
bt,802.3ad-4NICs-layer2,133.16
