apps,bondmode,time
bt,RegularTCP,149.72
ft,RegularTCP,100.23
ft,RegularTCP,100.19
bt,RegularTCP,150.47
bt,RegularTCP,152.50
bt,RegularTCP,150.05
is,RegularTCP,11.73
sp,RegularTCP,206.47
bt,RegularTCP,150.10
bt,RegularTCP,151.13
bt,RegularTCP,151.55
bt,RegularTCP,149.02
bt,RegularTCP,150.99
is,RegularTCP,11.59
ft,RegularTCP,100.65
ft,RegularTCP,100.16
bt,RegularTCP,151.32
is,RegularTCP,11.30
is,RegularTCP,12.03
sp,RegularTCP,208.66
is,RegularTCP,11.05
bt,RegularTCP,150.00
ft,RegularTCP,100.34
sp,RegularTCP,206.39
sp,RegularTCP,205.36
is,RegularTCP,12.35
ft,RegularTCP,100.59
sp,RegularTCP,209.87
ft,RegularTCP,100.04
is,RegularTCP,12.17
sp,RegularTCP,205.53
is,RegularTCP,12.21
ft,RegularTCP,100.84
ft,RegularTCP,100.20
ft,RegularTCP,100.87
sp,RegularTCP,208.18
sp,RegularTCP,206.19
is,RegularTCP,12.21
ft,RegularTCP,100.03
sp,RegularTCP,206.28
sp,RegularTCP,206.78
sp,RegularTCP,206.33
ft,RegularTCP,100.13
sp,RegularTCP,207.33
ft,RegularTCP,100.38
bt,RegularTCP,151.12
bt,RegularTCP,150.70
bt,RegularTCP,150.45
sp,RegularTCP,207.89
sp,RegularTCP,206.21
ft,RegularTCP,100.67
sp,RegularTCP,206.71
is,RegularTCP,11.49
ft,RegularTCP,100.27
sp,RegularTCP,206.68
bt,RegularTCP,152.68
is,RegularTCP,11.39
bt,RegularTCP,150.83
ft,RegularTCP,100.36
is,RegularTCP,11.98
is,RegularTCP,11.99
bt,RegularTCP,150.49
is,RegularTCP,11.48
ft,RegularTCP,100.40
bt,RegularTCP,149.90
sp,RegularTCP,208.53
sp,RegularTCP,207.54
sp,RegularTCP,206.29
is,RegularTCP,11.81
bt,RegularTCP,150.52
sp,RegularTCP,207.42
is,RegularTCP,11.47
is,RegularTCP,11.60
sp,RegularTCP,205.89
sp,RegularTCP,207.64
is,RegularTCP,11.15
is,RegularTCP,11.29
ft,RegularTCP,100.86
sp,RegularTCP,208.57
is,RegularTCP,11.37
bt,RegularTCP,148.41
bt,RegularTCP,151.18
is,RegularTCP,11.78
bt,RegularTCP,149.82
is,RegularTCP,11.39
sp,RegularTCP,208.30
is,RegularTCP,12.17
bt,RegularTCP,151.16
bt,RegularTCP,150.27
sp,RegularTCP,207.39
ft,RegularTCP,100.26
is,RegularTCP,11.35
sp,RegularTCP,206.37
ft,RegularTCP,99.97
bt,RegularTCP,150.42
ft,RegularTCP,101.17
sp,RegularTCP,208.58
is,RegularTCP,11.61
ft,RegularTCP,100.67
bt,RegularTCP,152.58
bt,RegularTCP,150.70
bt,RegularTCP,151.41
sp,RegularTCP,206.72
ft,RegularTCP,101.09
is,RegularTCP,11.28
ft,RegularTCP,100.63
ft,RegularTCP,100.96
ft,RegularTCP,100.29
bt,RegularTCP,149.38
ft,RegularTCP,100.14
is,RegularTCP,11.70
ft,RegularTCP,100.38
ft,RegularTCP,100.57
is,RegularTCP,11.59
is,RegularTCP,11.80
bt,RegularTCP,149.34
sp,RegularTCP,206.21
ft,RegularTCP,100.33
sp,RegularTCP,206.32
is,RegularTCP,12.02
