apps,bondmode,bytes,time,mbytes-sec
intel,RegularTCP,0,27.54,0.00
intel,RegularTCP,1,27.25,0.04
intel,RegularTCP,2,26.88,0.07
intel,RegularTCP,4,26.84,0.15
intel,RegularTCP,8,26.86,0.30
intel,RegularTCP,16,26.79,0.60
intel,RegularTCP,32,27.02,1.18
intel,RegularTCP,64,26.94,2.38
intel,RegularTCP,128,26.95,4.75
intel,RegularTCP,256,27.36,9.36
intel,RegularTCP,512,27.81,18.41
intel,RegularTCP,1024,29.53,34.68
intel,RegularTCP,2048,32.50,63.01
intel,RegularTCP,4096,40.52,101.08
intel,RegularTCP,8192,46.66,175.57
intel,RegularTCP,16384,68.44,239.38
intel,RegularTCP,32768,70.46,465.05
intel,RegularTCP,65536,112.83,580.84
intel,RegularTCP,131072,166.81,785.77
intel,RegularTCP,262144,263.35,995.40
intel,RegularTCP,524288,446.98,1172.96
intel,RegularTCP,1048576,819.15,1280.08
intel,RegularTCP,2097152,1638.07,1280.26
intel,RegularTCP,4194304,3272.57,1281.65
intel,RegularTCP,0,26.61,0.00
intel,RegularTCP,1,25.65,0.04
intel,RegularTCP,2,25.84,0.08
intel,RegularTCP,4,25.60,0.16
intel,RegularTCP,8,25.63,0.31
intel,RegularTCP,16,25.56,0.63
intel,RegularTCP,32,25.82,1.24
intel,RegularTCP,64,26.09,2.45
intel,RegularTCP,128,26.20,4.88
intel,RegularTCP,256,26.30,9.73
intel,RegularTCP,512,27.07,18.91
intel,RegularTCP,1024,28.22,36.29
intel,RegularTCP,2048,31.52,64.98
intel,RegularTCP,4096,39.30,104.22
intel,RegularTCP,8192,45.65,179.43
intel,RegularTCP,16384,67.21,243.76
intel,RegularTCP,32768,67.29,486.95
intel,RegularTCP,65536,112.43,582.92
intel,RegularTCP,131072,166.73,786.13
intel,RegularTCP,262144,261.22,1003.54
intel,RegularTCP,524288,435.08,1205.04
intel,RegularTCP,1048576,787.77,1331.06
intel,RegularTCP,2097152,1633.74,1283.65
intel,RegularTCP,4194304,3258.20,1287.31
intel,RegularTCP,0,24.96,0.00
intel,RegularTCP,1,25.77,0.04
intel,RegularTCP,2,25.61,0.08
intel,RegularTCP,4,25.86,0.15
intel,RegularTCP,8,25.65,0.31
intel,RegularTCP,16,25.62,0.62
intel,RegularTCP,32,26.01,1.23
intel,RegularTCP,64,26.34,2.43
intel,RegularTCP,128,26.73,4.79
intel,RegularTCP,256,26.40,9.70
intel,RegularTCP,512,26.87,19.06
intel,RegularTCP,1024,28.29,36.20
intel,RegularTCP,2048,31.89,64.22
intel,RegularTCP,4096,39.50,103.70
intel,RegularTCP,8192,45.71,179.23
intel,RegularTCP,16384,67.62,242.30
intel,RegularTCP,32768,57.83,566.64
intel,RegularTCP,65536,117.15,559.41
intel,RegularTCP,131072,166.28,788.28
intel,RegularTCP,262144,258.18,1015.36
intel,RegularTCP,524288,434.84,1205.69
intel,RegularTCP,1048576,891.45,1176.25
intel,RegularTCP,2097152,1830.83,1145.47
intel,RegularTCP,4194304,3530.45,1188.04
intel,RegularTCP,0,26.11,0.00
intel,RegularTCP,1,26.86,0.04
intel,RegularTCP,2,26.63,0.08
intel,RegularTCP,4,26.64,0.15
intel,RegularTCP,8,26.65,0.30
intel,RegularTCP,16,26.61,0.60
intel,RegularTCP,32,26.93,1.19
intel,RegularTCP,64,26.84,2.38
intel,RegularTCP,128,27.32,4.68
intel,RegularTCP,256,27.36,9.36
intel,RegularTCP,512,28.07,18.24
intel,RegularTCP,1024,29.36,34.88
intel,RegularTCP,2048,32.92,62.20
intel,RegularTCP,4096,40.55,101.01
intel,RegularTCP,8192,46.58,175.86
intel,RegularTCP,16384,68.35,239.69
intel,RegularTCP,32768,61.31,534.49
intel,RegularTCP,65536,112.88,580.60
intel,RegularTCP,131072,166.39,787.72
intel,RegularTCP,262144,263.57,994.59
intel,RegularTCP,524288,439.62,1192.59
intel,RegularTCP,1048576,792.94,1322.39
intel,RegularTCP,2097152,1713.20,1224.11
intel,RegularTCP,4194304,3426.77,1223.98
intel,RegularTCP,0,27.02,0.00
intel,RegularTCP,1,26.22,0.04
intel,RegularTCP,2,26.23,0.08
intel,RegularTCP,4,26.65,0.15
intel,RegularTCP,8,26.21,0.31
intel,RegularTCP,16,26.14,0.61
intel,RegularTCP,32,26.63,1.20
intel,RegularTCP,64,26.44,2.42
intel,RegularTCP,128,26.64,4.81
intel,RegularTCP,256,27.36,9.36
intel,RegularTCP,512,27.46,18.65
intel,RegularTCP,1024,28.61,35.80
intel,RegularTCP,2048,32.57,62.87
intel,RegularTCP,4096,39.78,102.96
intel,RegularTCP,8192,45.93,178.38
intel,RegularTCP,16384,67.62,242.29
intel,RegularTCP,32768,91.84,356.79
intel,RegularTCP,65536,112.52,582.42
intel,RegularTCP,131072,165.27,793.08
intel,RegularTCP,262144,258.37,1014.62
intel,RegularTCP,524288,440.22,1190.96
intel,RegularTCP,1048576,794.55,1319.71
intel,RegularTCP,2097152,1634.17,1283.31
intel,RegularTCP,4194304,3242.17,1293.67
intel,RegularTCP,0,26.12,0.00
intel,RegularTCP,1,25.59,0.04
intel,RegularTCP,2,25.53,0.08
intel,RegularTCP,4,25.62,0.16
intel,RegularTCP,8,25.89,0.31
intel,RegularTCP,16,25.50,0.63
intel,RegularTCP,32,25.96,1.23
intel,RegularTCP,64,25.98,2.46
intel,RegularTCP,128,26.56,4.82
intel,RegularTCP,256,26.33,9.72
intel,RegularTCP,512,26.68,19.19
intel,RegularTCP,1024,27.86,36.76
intel,RegularTCP,2048,31.38,65.26
intel,RegularTCP,4096,39.25,104.35
intel,RegularTCP,8192,44.74,183.09
intel,RegularTCP,16384,66.68,245.71
intel,RegularTCP,32768,52.70,621.83
intel,RegularTCP,65536,111.26,589.02
intel,RegularTCP,131072,163.18,803.24
intel,RegularTCP,262144,260.99,1004.41
intel,RegularTCP,524288,434.43,1206.85
intel,RegularTCP,1048576,796.98,1315.69
intel,RegularTCP,2097152,1624.08,1291.29
intel,RegularTCP,4194304,3270.25,1282.57
intel,RegularTCP,0,25.20,0.00
intel,RegularTCP,1,26.07,0.04
