number,apps
1,bt
2,ft
3,ft
4,bt
5,intel
6,bt
7,bt
8,intel
9,is
10,intel
11,sp
12,bt
13,bt
14,bt
15,intel
16,bt
17,bt
18,is
19,ft
20,intel
21,ft
22,bt
23,is
24,is
25,sp
26,is
27,bt
28,ft
29,intel
30,intel
31,sp
32,sp
33,is
34,ft
35,sp
36,ft
37,is
38,sp
39,is
40,ft
41,ft
42,ft
43,intel
44,sp
45,sp
46,intel
47,is
48,intel
49,ft
50,sp
51,intel
52,sp
53,sp
54,intel
55,ft
56,sp
57,ft
58,bt
59,bt
60,bt
61,sp
62,sp
63,ft
64,sp
65,is
66,ft
67,intel
68,sp
69,intel
70,bt
71,intel
72,is
73,bt
74,intel
75,ft
76,is
77,is
78,bt
79,intel
80,intel
81,is
82,ft
83,intel
84,bt
85,sp
86,sp
87,sp
88,is
89,intel
90,intel
91,bt
92,sp
93,is
94,is
95,sp
96,sp
97,is
98,is
99,ft
100,sp
101,is
102,bt
103,bt
104,is
105,intel
106,bt
107,intel
108,is
109,sp
110,is
111,bt
112,bt
113,sp
114,intel
115,ft
116,is
117,sp
118,ft
119,bt
120,ft
121,sp
122,is
123,ft
124,bt
125,bt
126,bt
127,sp
128,ft
129,is
130,intel
131,intel
132,ft
133,intel
134,ft
135,ft
136,intel
137,bt
138,ft
139,is
140,ft
141,ft
142,intel
143,is
144,is
145,bt
146,sp
147,ft
148,intel
149,sp
150,is

